campaign_name,canonical_key,tier,geography,start_date,end_date,duration_days,promos_coupons,category_focus,onsite_deliverables,wireframes,event_type,source,needs_review,raw_notes,sheet_name,table_type
Black November,black_november,-,All,2025-11-20,2025-11-27,8.0,"40-90% Off | beauty_callout: up to 70 | cashback_coupons: 40 aed/ sar cashback at min. 400 spend
100 aed/ sar cashback at min. 700 spend
200 aed/ sar cashback at min. 1000 spend
Code: bn200 | deal_codes: TBD",,"- Splashscreen
- Logo unit
- PDP/ cart banners
- Category page entrypoint
- Tier 1 banner/ feed
- Feed takeover / feed",,,history,False,,november 2025,primary
"Black November
Namshi Friday",black_november,-,All,2025-11-27,2025-12-01,5.0,"40-90% Off | cashback_coupons: 40aed/ sar cashback at min. 400 spend
100 aed/ sar cashback at min. 700 spend
250 aed/ sar cashback at min. 1000 spend
Code: friday | deal_codes: TBD",,"- Splashscreen
- Logo unit
- PDP/ cart banners
- Category page entrypoint
- Tier 1 banner/ feed
- Feed takeover / feed",,,history,False,,november 2025,primary
Clearance Sale,eoss,-,All,2025-12-01,2025-12-03,3.0,Up to 90% Off | cashback_coupons: TBD reactively based on performance | deal_codes: TBD,,"- PDP/ cart banners
- Category page entrypoint
- Tier 1 banner / feed
- Offers module",,sale,history,False,,november 2025,primary
UAE National Day,uae_national_day,-,UAE,2025-11-25,2025-12-02,8.0,,,,,national,history,False,,november 2025,primary
Payday (September),payday,Tier 1,KSA + UAE,2025-09-25,2025-10-05,11.0,30-80% Off + Up to 15% Cashback,Platform-wide,Hero banner + offers module,,monthly_anchor,history,False,,October 2025,primary
International Coffee Day,coffee_day,Tier 2,KSA + UAE,2025-09-25,2025-10-01,7.0,,"Fashion + Beauty + Sports (shades of brown)
Home",Hero Banner,OctoberOnsiteWFs,cultural,history,False,,October 2025,primary
Diwali (incl. gifting),diwali,Tier 1,UAE,2025-10-09,2025-10-20,12.0,,Fashion + Beauty + Home + Sports,"Hero Banner (indian nationals) + Gifting roundel (all)
OR Feed module",OctoberOnsiteWFs,cultural,history,True,tier_raw: Tier 1 (Indian Nationals),October 2025,primary
Halloween,halloween,Tier 2,UAE,2025-10-20,2025-10-31,12.0,,Beauty + Kids,Module on feed + hero banner and elevated plp + halloween essentials + 90 mins carousel last 2 days,OctoberOnsiteWFs,cultural,history,False,,October 2025,primary
Performance Edit (Dubai Active/ Dubai Fitness),dubai_fitness,Tier 1,UAE,2025-10-20,2025-11-30,42.0,,Sports + Fashion (athleisure),,OctoberOnsiteWFs,sports,history,True,"tier_raw: Tier 1 at launch
Tier 2 starting payday",October 2025,primary
Payday Sale,payday,Tier 1,KSA + UAE,2025-10-26,2025-11-03,9.0,"30-80% off + up to 20% cashback as follows:
10% for 300-500 spend
20% for 500+ spend
Max cap 150",Platform-wide,,OctoberOnsiteWFs,monthly_anchor,history,False,,October 2025,primary
Trends/ Edits,trend_edit_aw,-,,TBD,TBD,,,,,,,history,False,,October 2025,primary
Riyadh Fashion Week (TBC),fashion_week,-,KSA,2017-10-21,TBD,,,Fashion + Sports,Trend banner,,,history,True,start_raw: 17th - 21st October,October 2025,primary
Wedding Edit,wedding_edit,-,KSA + UAE,2025-10-10,2025-10-31,22.0,,Fashion (occasionwear),Banner + Module+ hub+ category tree,,,history,False,,October 2025,primary
Last Chance BTS,bts,-,KSA + UAE,2025-08-25,2025-09-04,11.0,"40-80% Off + Up to 10% Cashback*
Beauty : 20-50% Off + Up to 10% Cashback

5% cashback for 2+ items added to cart
10% cashback for 5+ items added to cart
max cap 150 aed/ sar",Platform-wide,"Hero banner + roundel
Sale feed takeover (UAE)",BTS PHASE 3 SALE PROMO(ALL FEEDS) | 40-80% off + Up to 15% Cashback | 12TH AUG'25,seasonal,history,False,,september 2025,primary
Feed Monthly Refresh,feed_refresh,-,KSA + UAE,2025-09-04,TBD,,,Platform-wide,Feed refresh,September Onsite Plan,monthly_anchor,history,False,,september 2025,primary
AW 2025/2026,aw,-,KSA + UAE,2025-09-05,2025-09-19,15.0,,Fashion,Banner + feed module,September 25,seasonal,history,False,,september 2025,primary
International Beauty Day,beauty_week,-,KSA + UAE,2025-09-04,2025-09-10,7.0,TBD,Beauty,Banner,International Beauty Day,beauty,history,False,,september 2025,primary
KSA National Day,ksa_national_day,-,KSA,2025-09-09,2025-09-23,15.0,,"Arabian wear, accessories, beauty, arabian home decor, gift sets",Banner + landing page,KSA National Day 25 - Onsite,national,history,False,,september 2025,primary
KSA National Day (Promo),ksa_national_day,-,KSA,2026-09-18,2026-09-23,6.0,Coupon to be confirmed,Platform-wide,Banner,KSA National Day 25 - Onsite,national,history,True,start_raw: September 18 (TBC) | end_raw: September 23 (TBC),september 2025,primary
Payday,payday,-,KSA + UAE,2025-09-25,2025-10-05,11.0,"30-80% + Up to 15% cashback
5% cashback for 350+ aed/ sar
15% cashback for 700+ aed/ sar
max cap 150 aed/ sar",Platform-wide,T2 banner + categories on discount,,monthly_anchor,history,False,,september 2025,primary
Beauty Week,beauty_week,-,KSA + UAE,2025-09-25,2025-10-03,9.0,Up to 70% Off,Beauty,"Banner
Feed",Beauty Week Plan | Sept '25,beauty,history,False,,september 2025,primary
Payday,payday,-,All,2025-07-25,2025-08-04,11.0,"30-80% Off + Up to 15% Cashback
Coupon code: BTS
5% Cashback | Min Order Value 350 AED / SAR
15% Cashback | Min Order Value 700 AED / SAR

T&Cs
Maximum cashback limit is 150 AED / SAR.
Cashback is applicable on noon & Namshi, no minimum spend required.
Cashback will be credited 14 days after delivery.
Cashback is valid for 60 days.",Platform-wide,"- Tier 2 banner (under HB) + roundel across feeds + landing page
- Middle nav",,monthly_anchor,history,False,,august 2025,primary
BTS Takeover,bts,-,UAE,2025-07-25,2025-08-20,27.0,NA,"BTS-relevant categories (e.g., footwear, bags, winter wear, stationery, lunch boxes/ water bottles)","- Hero banner + roundel 
- Feed takeover",,seasonal,history,False,,august 2025,primary
BTS Takeover,bts,-,KSA,2025-07-25,2025-08-12,19.0,NA,"BTS-relevant categories (e.g., footwear, bags, winter wear, stationery, lunch boxes/ water bottles)","- Hero banner + roundel 
- Feed takeover",,seasonal,history,False,,august 2025,primary
BTS Last Chance,bts,-,KSA,2025-08-12,2025-08-25,14.0,TBD,"BTS-relevant categories (e.g., footwear, bags, winter wear, stationery, lunch boxes/ water bottles)","- Hero banner + roundel 
- Feed takeover",,seasonal,history,False,,august 2025,primary
BTS Last Chance,bts,-,UAE,2025-08-20,2025-09-04,16.0,TBD,"BTS-relevant categories (e.g., footwear, bags, winter wear, stationery, lunch boxes/ water bottles)","- Hero banner + roundel 
- Feed takeover",,seasonal,history,False,,august 2025,primary
Payday,payday,-,KSA,2025-08-25,2025-09-04,11.0,TBD,Platform-wide,"- Hero banner + roundel
- Landing page",,monthly_anchor,history,False,,august 2025,primary
EOSS,eoss,-,KSA + UAE,2025-06-20,2025-07-07,18.0,30-70% off + up to 20% cashback,Platform-wide,"- Hero banner + roundel across feeds + landing page
- Middle nav",EOSS | W/M/K | 20th June 2025,sale,history,False,,july 2025,primary
July Feed Refresh,feed_refresh,-,KSA + UAE,2025-07-07,2025-07-30,24.0,NA,Platform-wide,- Full feed refresh,July Feed 2025,monthly_anchor,history,False,,july 2025,primary
Summer Store - Extension/ Refresh,summer_store,-,KSA + UAE,2025-07-08,2025-07-15,8.0,NA,Platform-wide,"- Hero banner + roundel across feeds + landing page
- Middle nav",July Trends/Hero Banners,seasonal,history,False,,july 2025,primary
BTS Soft Launch,bts,-,KSA + UAE,2025-07-15,2025-07-25,11.0,NA,"BTS-relevant categories (footwear, bags, winter wear, stationery, lunch boxes/ water bottles)",- Hero banner + roundel across feeds + landing page,July Feed 2025,seasonal,history,False,,july 2025,primary
Lipstick Day,beauty_week,-,KSA + UAE,2025-07-25,2025-07-29,5.0,NA,Beauty,TBD,"July Plan | Beauty
Lip Moment - Soft Launch (15th July-25 July) | Beauty | 2025",beauty,history,False,,july 2025,primary
BTS Takeover,bts,-,KSA,2025-07-25,2025-08-12,19.0,NA,"BTS-relevant categories (footwear, bags, winter wear, stationery, lunch boxes/ water bottles)","-Hero banner + roundel 
- Feed takeover",,seasonal,history,False,,july 2025,primary
BTS Takeover,bts,-,UAE,2025-07-25,2025-08-20,27.0,NA,"BTS-relevant categories (footwear, bags, winter wear, stationery, lunch boxes/ water bottles)","-Hero banner + roundel 
- Feed takeover",,seasonal,history,False,,july 2025,primary
Payday,payday,-,KSA + UAE,2025-07-25,2025-08-04,11.0,"30-80% Off + Up to 15% Cashback
Coupon code: BTS
5% Cashback | Min Order Value 350 AED / SAR
15% Cashback | Min Order Value 700 AED / SAR

T&Cs
Maximum cashback limit is 150 AED / SAR.
Cashback is applicable on noon & Namshi, no minimum spend required.
Cashback will be credited 14 days after delivery.
Cashback is valid for 60 days.

For GCC the construct will be the same - converted to local currency.",Platform-wide,"- Tier 2 banner (under HB) + roundel across feeds + landing page
- Middle nav",,monthly_anchor,history,False,,july 2025,primary
Summer Store (W),summer_store,-,KSA + UAE,2025-07-07,2025-07-14,8.0,,Platform-wide,"- Hero Banner with trend entry point
- Landing page
- Middle Nav
- Calling out summer trends - Floaty Dresses, Seaside Chic, Elevated Accessories, Summer Tailoring","Central Nav: https://docs.google.com/spreadsheets/d/1WDERN9EQbU9PibZHORM4HobgU3rsrjxQ-fo2TkaQ1As/edit?gid=0#gid=0

Hero: https://docs.google.com/spreadsheets/d/1WDERN9EQbU9PibZHORM4HobgU3rsrjxQ-fo2TkaQ1As/edit?gid=945566179#gid=945566179",seasonal,history,False,,july 2025,trend
Summer Store (M),summer_store,-,KSA + UAE,2025-07-07,2025-07-14,8.0,,Platform-wide,"- Hero Banner with trend entry point
- Landing page
- Middle Nav","Central Nav: https://docs.google.com/spreadsheets/d/1WDERN9EQbU9PibZHORM4HobgU3rsrjxQ-fo2TkaQ1As/edit?gid=2000873559#gid=2000873559

Hero: https://docs.google.com/spreadsheets/d/1WDERN9EQbU9PibZHORM4HobgU3rsrjxQ-fo2TkaQ1As/edit?gid=280602229#gid=280602229",seasonal,history,False,,july 2025,trend
The Essentials Shop,spring_summer,-,KSA + UAE,2025-07-18,2025-07-31,14.0,,Platform-wide,- Feed module,https://docs.google.com/spreadsheets/d/1WDERN9EQbU9PibZHORM4HobgU3rsrjxQ-fo2TkaQ1As/edit?gid=379718639#gid=379718639,seasonal,history,False,,july 2025,trend
The Essentials Shop,spring_summer,-,KSA + UAE,2025-07-18,2025-07-31,14.0,,Platform-wide,- Feed module,https://docs.google.com/spreadsheets/d/1WDERN9EQbU9PibZHORM4HobgU3rsrjxQ-fo2TkaQ1As/edit?gid=792172573#gid=792172573,seasonal,history,False,,july 2025,trend
Soft Girl Summer (W),spring_summer,-,KSA + UAE,2025-07-14,2025-07-31,18.0,,Platform-wide,- Hero Banner,https://docs.google.com/spreadsheets/d/1WDERN9EQbU9PibZHORM4HobgU3rsrjxQ-fo2TkaQ1As/edit?gid=604858772#gid=604858772,trend_edit,history,False,,july 2025,trend
Resort Wear (W),spring_summer,-,KSA + UAE,2025-07-14,2025-07-31,18.0,,Platform-wide,- Hero Banner,https://docs.google.com/spreadsheets/d/1WDERN9EQbU9PibZHORM4HobgU3rsrjxQ-fo2TkaQ1As/edit?gid=604858772#gid=604858773,seasonal,history,False,,july 2025,trend
Resort Wear (M),spring_summer,-,KSA + UAE,2025-07-14,2025-07-31,18.0,,Platform-wide,- Hero Banner,https://docs.google.com/spreadsheets/d/1WDERN9EQbU9PibZHORM4HobgU3rsrjxQ-fo2TkaQ1As/edit?gid=604858772#gid=604858774,seasonal,history,False,,july 2025,trend
Coastal Core (M),spring_summer,-,KSA + UAE,2025-07-14,2025-07-31,18.0,,Platform-wide,- Hero Banner,https://docs.google.com/spreadsheets/d/1WDERN9EQbU9PibZHORM4HobgU3rsrjxQ-fo2TkaQ1As/edit?gid=604858772#gid=604858775,trend_edit,history,False,,july 2025,trend
Eid Sale,eid_fitr,-,KSA + UAE,2025-05-26,2025-06-05,11.0,30-80% off + Up to 15% cashback,Platform-wide,"- Hero banner + roundel across feeds
- Middle nav",,sale,history,False,,june 2025,primary
June Feed Refresh,feed_refresh,-,KSA + UAE,2025-06-09,TBD,,,Platform-wide,- Full feed refresh,JUNE FASHION FEED REFRESH | WOMEN & MEN | 5TH JUNE'25,monthly_anchor,history,False,,june 2025,primary
Summer/ Travel Edits (refreshed),travel_edit,-,KSA + UAE,2025-06-09,2025-06-30,22.0,NA,"Summer + comfort wear, beauty summer essentials (e.g., suncare/ skincare), bags & luggage, outdoors decor, travel accessories","- Hero banner
- Middle nav
- Inclusion in feed modules",,seasonal,history,False,,june 2025,primary
Fathers' Day,fathers_day,-,KSA + UAE,2025-06-09,2025-06-21,13.0,NA,"Gifting-related categories (e.g., FAB, grooming) + giftcards/ gifting at checkout/ N90 pushes","- Hero banner
- Middle nav
- Inclusion in feed modules",Father's Day,cultural,history,False,,june 2025,primary
EOSS,eoss,-,KSA + UAE,2025-06-20,2025-07-07,18.0,"40-80% off + up to 20% cashback
5% Cashback | Min Order Value 350 AED / SAR
15% Cashback | Min Order Value 700 AED / SAR
20% Cashback | Min Order Value 1,000 AED / SAR",Platform-wide,"- Hero banner + roundel across feeds + landing page
- Middle nav",EOSS | W/M/K | 20th June 2025,sale,history,False,,june 2025,primary
Summer Store (M/W),summer_store,-,KSA + UAE,2025-06-09,TBD,,,Fashion,Central Nav Static Page,,seasonal,history,False,,june 2025,trend
Romanticism (W),autumn_winter,-,KSA + UAE,2025-06-09,2025-06-16,8.0,,Fashion,Hero Banner,,trend_edit,history,False,,june 2025,trend
Minimalism (M),autumn_winter,-,KSA + UAE,2025-06-09,2025-06-16,8.0,,Fashion,Hero Banner,,trend_edit,history,False,,june 2025,trend
Wellness Girl/Boy (M/W),autumn_winter,-,KSA + UAE,2025-06-16,2025-06-23,8.0,,Fashion + Sports,Hero Banner + PLP,,trend_edit,history,False,,june 2025,trend
Sports Style (W),spring_summer,-,KSA + UAE,2025-06-23,2025-06-30,8.0,,Fashion + Sports,Hero Banner,,seasonal,history,False,,june 2025,trend
Preppy (M),autumn_winter,-,KSA + UAE,2025-06-23,2025-06-30,8.0,,Fashion + Sports,Hero Banner,,trend_edit,history,False,,june 2025,trend
Payday Sale,payday,-,KSA + UAE,2025-04-25,2025-05-05,11.0,30-80% off + Up to 15% cashback,Platform-wide,"- Hero banner + roundel across feeds
- Middle nav",,monthly_anchor,history,False,,may 2025,primary
Get Ready for Eid (Adha),eid_adha,-,KSA + UAE,2025-05-14,2026-06-05,388.0,NA,"Fashion (arabian wear, prayer essentials), gifting, beauty & grooming, home & decor","- Hero banner (+ LP) + roundel across feeds
- Middle nav",,sale,history,True,end_raw: Jun 5 (TBC),may 2025,primary
Travel in Comfort,travel_edit,-,KSA + UAE,2026-05-14,2026-06-09,27.0,NA,"Fashion (bags & luggage, comfort/ travel clothing and shoes), beauty (minis, skincare), home","- Hero banner across feeds
- Middle nav",,seasonal,history,True,start_raw: May 14 (TBC) | end_raw: Jun 9 (TBC),may 2025,primary
